region,voc,total,date
1,1,45735,'2021-07-19'
2,1,14063,'2021-07-19'
3,1,7065,'2021-07-19'
4,1,180,'2021-07-19'
5,1,187,'2021-07-19'
6,1,76,'2021-07-19'
7,1,103,'2021-07-19'
8,1,21,'2021-07-19'
9,1,144798,'2021-07-19'
10,1,26,'2021-07-19'
11,1,7173,'2021-07-19'
12,1,6963,'2021-07-19'
13,1,3,'2021-07-19'
14,1,226393,'2021-07-19'
1,2,171,'2021-07-19'
2,2,154,'2021-07-19'
3,2,73,'2021-07-19'
4,2,4,'2021-07-19'
5,2,6,'2021-07-19'
6,2,0,'2021-07-19'
7,2,12,'2021-07-19'
8,2,0,'2021-07-19'
9,2,1466,'2021-07-19'
10,2,0,'2021-07-19'
11,2,445,'2021-07-19'
12,2,10,'2021-07-19'
13,2,0,'2021-07-19'
14,2,2341,'2021-07-19'
1,3,2801,'2021-07-19'
2,3,10695,'2021-07-19'
3,3,230,'2021-07-19'
4,3,1,'2021-07-19'
5,3,1,'2021-07-19'
6,3,1,'2021-07-19'
7,3,1,'2021-07-19'
8,3,0,'2021-07-19'
9,3,4955,'2021-07-19'
10,3,0,'2021-07-19'
11,3,554,'2021-07-19'
12,3,410,'2021-07-19'
13,3,31,'2021-07-19'
14,3,19680,'2021-07-19'
1,4,969,'2021-07-19'
2,4,1380,'2021-07-19'
3,4,474,'2021-07-19'
4,4,0,'2021-07-19'
5,4,1,'2021-07-19'
6,4,0,'2021-07-19'
7,4,22,'2021-07-19'
8,4,0,'2021-07-19'
9,4,3318,'2021-07-19'
10,4,2,'2021-07-19'
11,4,219,'2021-07-19'
12,4,424,'2021-07-19'
13,4,0,'2021-07-19'
14,4,6809,'2021-07-19'
