date,region,week_cases
'2021-07-26',1,741
'2021-07-26',2,622
'2021-07-26',14,3558
'2021-07-26',3,256
'2021-07-26',4,5
'2021-07-26',5,0
'2021-07-26',6,0
'2021-07-26',7,10
'2021-07-26',8,0
'2021-07-26',9,1100
'2021-07-26',10,0
'2021-07-26',11,498
'2021-07-26',12,277
'2021-07-26',13,49
