region,qc_pass,qc_fail,gisaid,date
1,23613,2214,14582,'2021-07-16'
2,48171,8885,22717,'2021-07-16'
3,3296,422,1690,'2021-07-16'
4,1012,161,476,'2021-07-16'
5,481,71,353,'2021-07-16'
7,1378,343,1223,'2021-07-16'
9,33096,5838,25986,'2021-07-16'
10,114,53,0,'2021-07-16'
11,32079,7950,12133,'2021-07-16'
12,8938,2362,4691,'2021-07-16'
14,152178,28299,83851,'2021-07-16'
