region,qc_pass,qc_fail,gisaid,date,data_portal
1,22998,2192,14582,'2021-07-09',9955
2,46676,8462,22751,'2021-07-09',0
3,2886,404,1690,'2021-07-09',0
4,1012,161,476,'2021-07-09',0
5,469,71,353,'2021-07-09',0
7,1378,343,1223,'2021-07-09',0
9,32028,5766,25308,'2021-07-09',111
10,114,53,0,'2021-07-09',0
11,32079,7950,10105,'2021-07-09',6016
12,8719,2327,4691,'2021-07-09',0
14,148359,27729,81179,'2021-07-09',16082
