date,region,week_cases
'2021-07-19',1,305
'2021-07-19',2,333
'2021-07-19',14,2787
'2021-07-19',3,286
'2021-07-19',4,10
'2021-07-19',5,35
'2021-07-19',6,0
'2021-07-19',7,4
'2021-07-19',8,0
'2021-07-19',9,1084
'2021-07-19',10,0
'2021-07-19',11,516
'2021-07-19',12,173
'2021-07-19',13,41
