region,qc_pass,qc_fail,gisaid,date
1,21475,1910,11760,2021-06-25
2,35797,6397,22751,2021-06-25
3,2759,403,1690,2021-06-25
4,976,157,476,2021-06-25
5,469,71,353,2021-06-25
7,1314,331,1181,2021-06-25
9,30456,5740,24310,2021-06-25
10,114,52,0,2021-06-25
11,29240,7150,7595,2021-06-25
12,8302,2238,3406,2021-06-25
14,130902,24449,73522,2021-06-25
