date,region,week_cases
'2021-07-12',1,265
'2021-07-12',2,364
'2021-07-12',14,3467
'2021-07-12',3,438
'2021-07-12',4,0
'2021-07-12',5,2
'2021-07-12',6,0
'2021-07-12',7,15
'2021-07-12',8,0
'2021-07-12',9,1290
'2021-07-12',10,1
'2021-07-12',11,720
'2021-07-12',12,299
'2021-07-12',13,73
