region,qc_pass,qc_fail,gisiad,date
1,22159,2080,11760,2021-07-02
2,46142,8324,22751,2021-07-02
3,2886,404,1690,2021-07-02
4,995,158,476,2021-07-02
5,469,71,353,2021-07-02
7,1314,331,1223,2021-07-02
9,30917,5753,25483,2021-07-02
10,114,53,0,2021-07-02
11,29240,7150,7595,2021-07-02
12,8644,2310,3406,2021-07-02
14,142880,26634,74737,2021-07-02
