region,voc,total,date
Alberta,alpha,45761,2021-07-26
British Columbia,alpha,14170,2021-07-26
Manitoba,alpha,7088,2021-07-26
New Brunswick,alpha,180,2021-07-26
Newfoundland and Labrador,alpha,187,2021-07-26
Northwest Territories,alpha,76,2021-07-26
Nova Scotia,alpha,103,2021-07-26
Nunavut,alpha,21,2021-07-26
Ontario,alpha,145386,2021-07-26
Prince Edward Island,alpha,26,2021-07-26
Quebec,alpha,7203,2021-07-26
Saskatchewan,alpha,7027,2021-07-26
Yukon,alpha,3,2021-07-26
Canada,alpha,227231,2021-07-26
Alberta,beta,175,2021-07-26
British Columbia,beta,157,2021-07-26
Manitoba,beta,73,2021-07-26
New Brunswick,beta,4,2021-07-26
Newfoundland and Labrador,beta,6,2021-07-26
Northwest Territories,beta,0,2021-07-26
Nova Scotia,beta,12,2021-07-26
Nunavut,beta,0,2021-07-26
Ontario,beta,1492,2021-07-26
Prince Edward Island,beta,0,2021-07-26
Quebec,beta,444,2021-07-26
Saskatchewan,beta,10,2021-07-26
Yukon,beta,0,2021-07-26
Canada,beta,2373,2021-07-26
Alberta,gamma,2810,2021-07-26
British Columbia,gamma,10963,2021-07-26
Manitoba,gamma,233,2021-07-26
New Brunswick,gamma,1,2021-07-26
Newfoundland and Labrador,gamma,1,2021-07-26
Northwest Territories,gamma,1,2021-07-26
Nova Scotia,gamma,1,2021-07-26
Nunavut,gamma,0,2021-07-26
Ontario,gamma,5142,2021-07-26
Prince Edward Island,gamma,0,2021-07-26
Quebec,gamma,554,2021-07-26
Saskatchewan,gamma,419,2021-07-26
Yukon,gamma,31,2021-07-26
Canada,gamma,20156,2021-07-26
Alberta,delta,1295,2021-07-26
British Columbia,delta,1514,2021-07-26
Manitoba,delta,621,2021-07-26
New Brunswick,delta,0,2021-07-26
Newfoundland and Labrador,delta,1,2021-07-26
Northwest Territories,delta,0,2021-07-26
Nova Scotia,delta,22,2021-07-26
Nunavut,delta,0,2021-07-26
Ontario,delta,3913,2021-07-26
Prince Edward Island,delta,2,2021-07-26
Quebec,delta,241,2021-07-26
Saskatchewan,delta,505,2021-07-26
Yukon,delta,0,2021-07-26
Canada,delta,8114,2021-07-26
