region,date,voc,total
New Brunswick,2021-04-05,beta,0
Newfoundland and Labrador,2021-04-05,beta,1
Northwest Territories,2021-04-05,beta,0
Nova Scotia,2021-04-05,beta,10
Nunavut,2021-04-05,beta,0
Ontario,2021-04-05,beta,71
Prince Edward Island,2021-04-05,beta,0
Quebec,2021-04-05,beta,154
Saskatchewan,2021-04-05,beta,8
Yukon,2021-04-05,beta,0
Canada,2021-04-05,beta,337
Alberta,2021-04-05,gamma,15
British Columbia,2021-04-05,gamma,737
Manitoba,2021-04-05,gamma,0
New Brunswick,2021-04-05,gamma,0
Newfoundland and Labrador,2021-04-05,gamma,0
Northwest Territories,2021-04-05,gamma,0
Nova Scotia,2021-04-05,gamma,0
Nunavut,2021-04-05,gamma,0
Ontario,2021-04-05,gamma,103
Prince Edward Island,2021-04-05,gamma,0
Quebec,2021-04-05,gamma,2
Saskatchewan,2021-04-05,gamma,0
Yukon,2021-04-05,gamma,0
Canada,2021-04-05,gamma,857
Alberta,2021-04-12,alpha,10641
British Columbia,2021-04-12,alpha,3082
Manitoba,2021-04-12,alpha,364
New Brunswick,2021-04-12,alpha,28
Newfoundland and Labrador,2021-04-12,alpha,178
Northwest Territories,2021-04-12,alpha,1
Nova Scotia,2021-04-12,alpha,23
Nunavut,2021-04-12,alpha,0
Ontario,2021-04-12,alpha,14387
Prince Edward Island,2021-04-12,alpha,6
Quebec,2021-04-12,alpha,1430
Saskatchewan,2021-04-12,alpha,1426
Yukon,2021-04-12,alpha,1
Canada,2021-04-12,alpha,31567
Alberta,2021-04-12,beta,27
British Columbia,2021-04-12,beta,55
Manitoba,2021-04-12,beta,20
New Brunswick,2021-04-12,beta,0
Newfoundland and Labrador,2021-04-12,beta,1
Northwest Territories,2021-04-12,beta,0
Nova Scotia,2021-04-12,beta,10
Nunavut,2021-04-12,beta,0
Ontario,2021-04-12,beta,78
Prince Edward Island,2021-04-12,beta,0
Quebec,2021-04-12,beta,154
Saskatchewan,2021-04-12,beta,9
Yukon,2021-04-12,beta,0
Canada,2021-04-12,beta,354
Alberta,2021-04-12,gamma,102
British Columbia,2021-04-12,gamma,974
Manitoba,2021-04-12,gamma,0
New Brunswick,2021-04-12,gamma,0
Newfoundland and Labrador,2021-04-12,gamma,0
Northwest Territories,2021-04-12,gamma,0
Nova Scotia,2021-04-12,gamma,0
Nunavut,2021-04-12,gamma,0
Ontario,2021-04-12,gamma,134
Prince Edward Island,2021-04-12,gamma,0
Quebec,2021-04-12,gamma,2
Saskatchewan,2021-04-12,gamma,0
