region,date,voc,total
Alberta,2021-06-28,gamma,2746
British Columbia,2021-06-28,gamma,9709
Manitoba,2021-06-28,gamma,202
New Brunswick,2021-06-28,gamma,1
Newfoundland and Labrador,2021-06-28,gamma,1
Northwest Territories,2021-06-28,gamma,2
Nova Scotia,2021-06-28,gamma,1
Nunavut,2021-06-28,gamma,0
Ontario,2021-06-28,gamma,4393
Prince Edward Island,2021-06-28,gamma,0
Quebec,2021-06-28,gamma,499
Saskatchewan,2021-06-28,gamma,316
Yukon,2021-06-28,gamma,31
Canada,2021-06-28,gamma,17901
Alberta,2021-06-28,delta,607
British Columbia,2021-06-28,delta,1258
Manitoba,2021-06-28,delta,231
New Brunswick,2021-06-28,delta,0
Newfoundland and Labrador,2021-06-28,delta,1
Northwest Territories,2021-06-28,delta,0
Nova Scotia,2021-06-28,delta,2
Nunavut,2021-06-28,delta,0
Ontario,2021-06-28,delta,1343
Prince Edward Island,2021-06-28,delta,2
Quebec,2021-06-28,delta,35
Saskatchewan,2021-06-28,delta,178
Yukon,2021-06-28,delta,0
Canada,2021-06-28,delta,3657
